,Title,Company,Location,Salary,Posted
1,"('Accounting Software Programmer',)","('PT Gosantha Global',)","('Yogyakarta',)","IDR 2,000,000 - 3,500,000",7 hours ago
2,"('',)","('',)","('',)",,
3,"('IT Programmer',)","('PT Wahana Ottomitra Multiartha (WOM Finance), Tbk',)","('Jakarta Utara (Jakarta Raya) - Sunter',)",Above Expected Salary,7 hours ago
4,"('IT Programmer',)","('PT Asuransi Kresna Mitra Tbk',)","('Jakarta Raya - Sunter',)",Above Expected Salary,7 hours ago
5,"('IT Programmer',)","('PT FATAHILLAH ANUGERAH NIBRAS',)","('Tangerang (Banten) - Pondok Aren, Tangerang Selatan',)",Above Expected Salary,7 hours ago
6,"('Web Application Programmer Specialist',)","('PT Asuransi Jiwa Sinarmas MSIG',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,7 hours ago
7,"('Programmer (Data Scientist)',)","('PT SCG Readymix Indonesia',)","('Jakarta Selatan (Jakarta Raya) - Graha Mobisel',)",Above Expected Salary,17 hours ago
8,"('Programmer PHP',)","('PT. Metrodata Electronics, Tbk',)","('Jakarta Raya',)",Above Expected Salary,17 hours ago
9,"('IT Senior JAVA Developer Programmer - (Java Dev Sr.) Yogyakarta',)","('PT Sarana Yukti Bandhana',)","('Jakarta Selatan (Jakarta Raya), Yogyakarta',)","IDR 7,000,000 - 12,000,000",18 hours ago
10,"('IT Senior JAVA Developer / Programmer - (Java Dev Sr.) JAKARTA',)","('PT Sarana Yukti Bandhana',)","('Jakarta Selatan (Jakarta Raya), Yogyakarta',)","IDR 10,000,000 - 15,000,000",18 hours ago
11,"('Programmer Front End Developer',)","('PT. Digital Animasi Asia',)","('Tangerang (Banten) - Gading Serpong',)","IDR 7,000,000 - 12,000,000",Yesterday
12,"('Programmer',)","('Company Confidential',)","('Jakarta Raya - Jakarta Selatan',)","IDR 5,000,000 - 8,000,000",Yesterday
13,"('IT Programmer',)","('PT Jababeka, Tbk',)","('Cikarang (Jawa Barat)',)",Above Expected Salary,Yesterday
14,"('Programmer',)","('PT Inet Global Indo',)","('Jakarta Raya',)","IDR 4,300,000 - 5,590,000",Yesterday
15,"('IT PROGRAMMER',)","('PT Pandurasa Kharisma',)","('Jakarta Utara (Jakarta Raya) - Sunter',)",Above Expected Salary,04 May - 1:00 AM
16,"('Programmer Laravel',)","('PT Bhakti Adikarya Buana Abadi',)","('Jakarta Raya',)","IDR 3,500,000 - 4,550,000",04 May - 1:00 AM
17,"('.NET Web Developer - Programmer (C#, VB.NET, ASP.NET, MVC)',)","('PT Kamoro Maxima Integra',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary,04 May - 1:00 AM
18,"('WEB PROGRAMMER',)","('PT Duta Daya Digital',)","('Jakarta Barat (Jakarta Raya), Tangerang (Banten)',)",Above Expected Salary,03 May - 1:00 AM
19,"('Senior Programmer .Net (Site : Rumbai)',)","('PT. Metrodata Electronics, Tbk',)","('Pekanbaru (Riau) - Rumbai',)",Above Expected Salary,03 May - 1:00 AM
20,"('IT Programmer',)","('Company Confidential',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,03 May - 1:00 AM
21,"('Frontend Programmer',)","('Suteki Technology',)","('Jawa Barat - Bandung',)","IDR 5,000,000 - 10,000,000",03 May - 1:00 AM
22,"('',)","('',)","('',)",,
23,"('Java Programmer',)","('Erajaya Group',)","('Jakarta Barat (Jakarta Raya) - Erajaya Gedong Panjang',)",Above Expected Salary,03 May - 1:00 AM
24,"('IT Java Programmer',)","('PT Asuransi Jiwa Sinarmas MSIG',)","('Jakarta Raya - Sinarmas MSIG Tower, Sudirman Jakarta Pusat',)",Above Expected Salary,03 May - 1:00 AM
25,"('Programmer ASP VB.NET',)","('CV Bona Artha Solusindo',)","('Jakarta Raya',)",Above Expected Salary,03 May - 1:00 AM
26,"('Staf IT Programmer',)","('Kisel (Koperasi Telekomunikasi Selular)',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,02 May - 1:00 AM
27,"('Programmer',)","('PT Dua Putra Utama Makmur Tbk',)","('Kudus (Jawa Tengah) - Pati',)",Above Expected Salary,02 May - 1:00 AM
28,"('Programmer Analyst',)","('PT Adicipta Inovasi Teknologi',)","('Jakarta Barat (Jakarta Raya) - Kebon Jeruk',)",Above Expected Salary,02 May - 1:00 AM
29,"('.NET PROGRAMMER',)","('PT Lawencon Internasional',)","('Jakarta Raya',)",Above Expected Salary,02 May - 1:00 AM
30,"('Programmer',)","('PT Novell Pharmaceutical Laboratories',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary,02 May - 1:00 AM
31,"('ERP Programmer [.net . C#]',)","('Saeyan INC Co.,LTD',)","('Tangerang (Banten)',)",USD 500 - 800,02 May - 1:00 AM
32,"('Programmer (Golang)',)","('TEXO (PT Fintek Visi Nusa)',)","('Tangerang (Banten) - Ruko Great Wall, Jl.Green Lake City Boulevard No.17',)",Above Expected Salary,02 May - 1:00 AM
33,"('IT Programmer',)","('Company Confidential',)","('Jawa Timur',)",Above Expected Salary,01 May - 11:50 PM
34,"('IT (Programmer)',)","('PT IVY EDUCATION SERVICES',)","('Surabaya (Jawa Timur) - Royal Residence B5-111',)","IDR 3,500,000 - 4,000,000",01 May - 2:24 PM
35,"('ERP Programmer',)","('PT. Berca Hardayaperkasa',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,01 May - 1:00 AM
36,"('Programmer',)","('Sinergi 7 Utama',)","('Bandung (Jawa Barat), Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,01 May - 1:00 AM
37,"('SENIOR JAVA PROGRAMMER',)","('PT Visi Jaya Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,01 May - 1:00 AM
38,"('Web Programmer Fullstack',)","('PT Nusantara Compnet Integrator',)","('Jakarta Barat (Jakarta Raya) - Kebon Jeruk',)","IDR 6,000,000 - 12,000,000",01 May - 1:00 AM
39,"('Programmer',)","('PT Nusantara Compnet Integrator',)","('Jakarta Barat (Jakarta Raya)',)","IDR 6,000,000 - 12,000,000",01 May - 1:00 AM
40,"('Programmer',)","('Lidah Buaya Group',)","('Magelang (Jawa Tengah) - Kota Magelang',)",Above Expected Salary,01 May - 1:00 AM
41,"('Fullstack Programmer',)","('PT IDE DUA SEN (IDDS)',)","('Jakarta Selatan (Jakarta Raya) - Mampang Prapatan',)","IDR 18,000,000 - 20,000,000",01 May - 1:00 AM
42,"('Lead Senior Back End Developer ( Full Stack Programmer )',)","('PT Solutech Inovasi Teknologi',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,01 May - 1:00 AM
43,"('',)","('',)","('',)",,
44,"('Programmer Visual Basic',)","('PT Propan Raya Industrial Coating Chemicals',)","('Tangerang (Banten)',)",Above Expected Salary,01 May - 1:00 AM
45,"('Android Programmer Developer',)","('Pt. Sistem Teknologi Regularisasi Elektronik Aktivitas Millenial',)","('Medan (Sumatera Utara)',)","IDR 3,000,000 - 6,000,000",01 May - 1:00 AM
46,"('Programmer',)","('PT. INETUTAMA SYSTEMINDO',)","('Jakarta Raya - Jakarta Selatan - Jl. Kapten Tendean Mampang',)","IDR 5,000,000 - 6,500,000",01 May - 1:00 AM
47,"('Programmer / Developer - Based JKT & BDO',)","('PointStar Pte.Ltd.',)","('Bandung (Jawa Barat), Jakarta Raya',)","IDR 7,000,000 - 14,000,000",30 Apr - 5:21 PM
48,"('Senior C# Programmer',)","('PT SatNetCom',)","('Bandung (Jawa Barat), Jakarta Raya, Surabaya (Jawa Timur), Yogyakarta',)",Above Expected Salary,30 Apr - 3:15 PM
49,"('IT Center (Programmer)',)","(""Daarul Qur'an Group"",)","('Tangerang (Banten)',)",Above Expected Salary,30 Apr - 2:56 PM
50,"('Programmer (temporary)',)","('PT Tigaraksa Satria, Tbk',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,30 Apr - 2:38 PM
51,"('Web Programmer + IT Support',)","('PT Aldmic Indonesia',)","('Jakarta Raya',)","IDR 4,200,000 - 5,460,000",30 Apr - 12:02 PM
52,"('Senior Web Programmer',)","('PT Asia Utama Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 5,000,000 - 10,000,000",30 Apr - 11:17 AM
53,"('Web Programmer',)","('PT Astrindo Senayasa',)","('Jakarta Utara (Jakarta Raya)',)",Above Expected Salary,30 Apr - 11:06 AM
54,"('Web Programmer',)","('PT MEKA EDUVERSITY KOMUNIKASI',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,30 Apr - 1:00 AM
55,"('Developer .NET (Programmer)',)","('PT Berlian Sistem Informasi',)","('Jakarta Timur (Jakarta Raya)',)",Above Expected Salary,30 Apr - 1:00 AM
56,"('IT System Programmer and Development',)","('RX Fashion',)","('Jakarta Barat (Jakarta Raya)',)","IDR 4,000,000 - 6,000,000",30 Apr - 1:00 AM
57,"('System Developer (Programmer)',)","('PT Harmoni Dinamik Indonesia',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,30 Apr - 1:00 AM
58,"('ASP.NET CORE MVC PROGRAMMER',)","('Company Confidential',)","('Jakarta Raya - Kelapa Gading',)","IDR 8,000,000 - 10,000,000",30 Apr - 1:00 AM
59,"('Programmer (Golang)',)","('PT Solusi Pembayaran Elektronik',)","('Tangerang (Banten) - Jl.Greenlake City Boulevard, Ruko Greatwall Blok A',)",Above Expected Salary,30 Apr - 1:00 AM
60,"('React Native Programmer (at least 1-year experience, on / offline algorithm test)',)","('PT Five Jack',)","('Jakarta Barat (Jakarta Raya) - Tomang & Slipi',)","IDR 7,000,000 - 14,000,000",30 Apr - 1:00 AM
61,"('SENIOR APPS PROGRAMMER',)","('PT Visi Jaya Indonesia',)","('Jakarta Raya - JAKARTA SELATAN',)","IDR 13,000,000 - 20,000,000",30 Apr - 1:00 AM
62,"('Lead Senior Back End Developer ( Full Stack Programmer )',)","('PT Solutech Inovasi Teknologi',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,01 May - 1:00 AM
63,"('',)","('',)","('',)",,
64,"('Programmer Visual Basic',)","('PT Propan Raya Industrial Coating Chemicals',)","('Tangerang (Banten)',)",Above Expected Salary,01 May - 1:00 AM
65,"('Android Programmer Developer',)","('Pt. Sistem Teknologi Regularisasi Elektronik Aktivitas Millenial',)","('Medan (Sumatera Utara)',)","IDR 3,000,000 - 6,000,000",01 May - 1:00 AM
66,"('Programmer',)","('PT. INETUTAMA SYSTEMINDO',)","('Jakarta Raya - Jakarta Selatan - Jl. Kapten Tendean Mampang',)","IDR 5,000,000 - 6,500,000",01 May - 1:00 AM
67,"('Programmer / Developer - Based JKT & BDO',)","('PointStar Pte.Ltd.',)","('Bandung (Jawa Barat), Jakarta Raya',)","IDR 7,000,000 - 14,000,000",30 Apr - 5:21 PM
68,"('Senior C# Programmer',)","('PT SatNetCom',)","('Bandung (Jawa Barat), Jakarta Raya, Surabaya (Jawa Timur), Yogyakarta',)",Above Expected Salary,30 Apr - 3:15 PM
69,"('IT Center (Programmer)',)","(""Daarul Qur'an Group"",)","('Tangerang (Banten)',)",Above Expected Salary,30 Apr - 2:56 PM
70,"('Programmer (temporary)',)","('PT Tigaraksa Satria, Tbk',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,30 Apr - 2:38 PM
71,"('Web Programmer + IT Support',)","('PT Aldmic Indonesia',)","('Jakarta Raya',)","IDR 4,200,000 - 5,460,000",30 Apr - 12:02 PM
72,"('Senior Web Programmer',)","('PT Asia Utama Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 5,000,000 - 10,000,000",30 Apr - 11:17 AM
73,"('Web Programmer',)","('PT Astrindo Senayasa',)","('Jakarta Utara (Jakarta Raya)',)",Above Expected Salary,30 Apr - 11:06 AM
74,"('Web Programmer',)","('PT MEKA EDUVERSITY KOMUNIKASI',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary,30 Apr - 1:00 AM
75,"('Developer .NET (Programmer)',)","('PT Berlian Sistem Informasi',)","('Jakarta Timur (Jakarta Raya)',)",Above Expected Salary,30 Apr - 1:00 AM
76,"('IT System Programmer and Development',)","('RX Fashion',)","('Jakarta Barat (Jakarta Raya)',)","IDR 4,000,000 - 6,000,000",30 Apr - 1:00 AM
77,"('System Developer (Programmer)',)","('PT Harmoni Dinamik Indonesia',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,30 Apr - 1:00 AM
78,"('ASP.NET CORE MVC PROGRAMMER',)","('Company Confidential',)","('Jakarta Raya - Kelapa Gading',)","IDR 8,000,000 - 10,000,000",30 Apr - 1:00 AM
79,"('Programmer (Golang)',)","('PT Solusi Pembayaran Elektronik',)","('Tangerang (Banten) - Jl.Greenlake City Boulevard, Ruko Greatwall Blok A',)",Above Expected Salary,30 Apr - 1:00 AM
80,"('React Native Programmer (at least 1-year experience, on / offline algorithm test)',)","('PT Five Jack',)","('Jakarta Barat (Jakarta Raya) - Tomang & Slipi',)","IDR 7,000,000 - 14,000,000",30 Apr - 1:00 AM
81,"('SENIOR APPS PROGRAMMER',)","('PT Visi Jaya Indonesia',)","('Jakarta Raya - JAKARTA SELATAN',)","IDR 13,000,000 - 20,000,000",30 Apr - 1:00 AM
82,"('IT Programmer',)","('PT Tekenomiks Indonesia',)","('Balikpapan (Kalimantan Timur), Jakarta Raya',)",Above Expected Salary,29 Apr - 9:30 PM
83,"('',)","('',)","('',)",,
84,"('Programmer',)","('MODENA INDONESIA',)","('Jakarta Raya',)",Above Expected Salary,29 Apr - 4:34 PM
85,"('IT Senior Staff - SAP ABAP Programmer',)","('ADR Group Of Companies (PT Selamat Sempurna Tbk.)',)","('Tangerang (Banten) - Curug, Bitung',)",Above Expected Salary,29 Apr - 2:34 PM
86,"('Web Programmer',)","('PT. TEKNOLOGI BANGSA CERDAS',)","('Bogor (Jawa Barat)',)","IDR 4,000,000 - 6,000,000",29 Apr - 1:35 PM
87,"('Android Programmer',)","('PT. YES DOK INDONESIA',)","('Jakarta Utara (Jakarta Raya) - Kelapa Gading',)","IDR 10,000,000 - 15,000,000",29 Apr - 1:04 PM
88,"('IT Java Application Programmer',)","('PT Hitachi eBworx Indonesia',)","('Jakarta Raya - Jl. Jenderal Gatot Subroto',)",Above Expected Salary,29 Apr - 1:00 AM
89,"('Mobile Application Programmer',)","('PT APPKEY',)","('Denpasar (Bali) - Jln. Batusari 3 no.3 Dangin Puri Kelod, Dentim',)","IDR 2,800,000 - 3,640,000",29 Apr - 1:00 AM
90,"('Full Stack Programmer',)","('Beautynesia',)","('Jakarta Raya - Sudirman',)","IDR 6,000,000 - 12,000,000",29 Apr - 1:00 AM
91,"('Java Web Programmer',)","('sharedvis powered by Infomedia',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 15,000,000 - 19,500,000",29 Apr - 1:00 AM
92,"('Web System Programmer',)","('PT APPKEY',)","('Denpasar (Bali) - Renon',)","IDR 2,800,000 - 3,640,000",29 Apr - 1:00 AM
93,"('Programmer (Project Based)',)","('PT Pro Sistimatika Automasi',)","('Jakarta Raya',)","IDR 5,000,000 - 10,000,000",29 Apr - 1:00 AM
94,"('IT Programmer Head Office',)","('PT Agrinusa Jaya Santosa',)","('Jakarta Barat (Jakarta Raya) - Kedoya',)",Above Expected Salary,29 Apr - 1:00 AM
95,"('BACKEND DEVELOPER PROGRAMMER',)","('PT Hensel Davest Indonesia, Tbk',)","('Jakarta Raya, Jawa Barat, Jawa Tengah, Jawa Timur, Makassar (Sulawesi Selatan), Yogyakarta',)",Above Expected Salary,29 Apr - 1:00 AM
96,"('MOBILE PROGRAMMER',)","('PT Hensel Davest Indonesia, Tbk',)","('Jakarta Raya, Jawa Barat, Jawa Tengah, Makassar (Sulawesi Selatan), Surabaya (Jawa Timur), Yogyakarta',)",Above Expected Salary,29 Apr - 1:00 AM
97,"('Programmer PHP',)","('PT. Kirana Exim Internasional',)","('Yogyakarta',)","IDR 3,000,000 - 5,000,000",29 Apr - 1:00 AM
98,"('IT Programmer',)","('PT Plaza Nusantara Realti',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary,28 Apr - 11:17 PM
99,"('IT Programmer',)","('PT Moladin Digital Indonesia',)","('Jakarta Selatan (Jakarta Raya) - Petukangan Utara',)",Above Expected Salary,28 Apr - 8:03 PM
